Player_Name,Player_LastName,Club,Position,Foot,known_name
Luka,Romero  ,LAZIO,Right Winger,left,ROMERO L.
Thomas,Strakosha ,LAZIO,Goalkeeper,right,STRAKOSHA T.
Denis,Vavro ,LAZIO,Centre-Back,right,VAVRO D.
Mattia,Zaccagni  ,LAZIO,Left Winger,right,ZACCAGNI M.
TiemouE',Bakayoko ,MILAN,Defensive Midfield,right,BAKAYOKO T.
FodE',Ballo-TourE' ,MILAN,Left-Back,left,BALLO-TOURE' F.
Ismaël,Bennacer ,MILAN,Defensive Midfield,left,BENNACER I.
Brahim,DIaz ,MILAN,Attacking Midfield,both,BRAHIM DIAZ
Davide,Calabria  ,MILAN,Right-Back,right,CALABRIA D.
Samu,Castillejo ,MILAN,Right Winger,left,CASTILLEJO S.
Andrea,Conti  ,MILAN,Right-Back,right,CONTI A.
Alessandro,Florenzi  ,MILAN,Right-Back,right,FLORENZI A.
Matteo,Gabbia  ,MILAN,Centre-Back,right,GABBIA M.
Olivier,Giroud ,MILAN,Centre-Forward,left,GIROUD O.
Theo,HernAndez ,MILAN,Left-Back,left,HERNANDEZ T.
Zlatan,IbrahimoviC  ,MILAN,Centre-Forward,both,IBRAHIMOVIC Z.
Pierre,Kalulu ,MILAN,Centre-Back,right,KALULU P.
Franck,KessiE'  ,MILAN,Central Midfield,right,KESSIE' F.
Simon,Kjaer ,MILAN,Centre-Back,right,KJAER S.
Rade,Krunic ,MILAN,Central Midfield,right,KRUNIC R.
Rafael,LeAo ,MILAN,Left Winger,right,LEAO R.
Mike,Maignan  ,MILAN,Goalkeeper,right,MAIGNAN M.
Daniel,Maldini ,MILAN,Attacking Midfield,right,MALDINI D.
Junior,Messias ,MILAN,Right Winger,left,MESSIAS J.
Pietro,Pellegri ,MILAN,Centre-Forward,right,PELLEGRI P.
Tommaso,Pobega ,MILAN,Central Midfield,both,POBEGA T.
Ante,Rebic ,MILAN,Left Winger,right,REBIC A.
Alessio,Romagnoli ,MILAN,Centre-Back,left,ROMAGNOLI A.
Alexis,Saelemaekers  ,MILAN,Right Winger,right,SAELEMAEKERS A.
Luca,Stanga ,MILAN,Centre-Back, ,STANGA L.
Ciprian,Tatarusanu ,MILAN,Goalkeeper,right,TATARUSANU C.
Fikayo,Tomori ,MILAN,Centre-Back,right,TOMORI F.
