,Player_Name,Player_LastName,Club,Position,Foot,known_name,sics_id,opta_id,sc_id,first_name,last_name,born_date
90,Nahitan,NAndez ,CAGLIARI,Right Midfield,right,NANDEZ N.,13863,192351,11911,NAHITAN,NANDEZ,1995-12-28
91,Adam,Obert ,CAGLIARI,Centre-Back,left,OBERT A.,26517,484995,70483,ADAM,OBERT,2002-08-23
92,Christian,Oliva ,CAGLIARI,Defensive Midfield,right,OLIVA C.,20890,444628,24075,CHRISTIAN,OLIVA,1996-06-01
93,Leonardo,Pavoletti  ,CAGLIARI,Centre-Forward,right,PAVOLETTI L.,6262,67977,6173,LEONARDO,PAVOLETTI,1988-11-26
94,GastOn,Pereiro ,CAGLIARI,Attacking Midfield,left,PEREIRO G.,10390,153603,3779,GASTON,PEREIRO,1995-06-11
95,Boris,RadunoviC ,CAGLIARI,Goalkeeper,right,RADUNOVIC B.,8629,213535,1392,BORIS,RADUNOVIC,1996-05-26
96,Marko,Rog ,CAGLIARI,Central Midfield,right,ROG M.,7602,195303,12593,MARKO,ROG,1995-07-19
97,Giovanni,Simeone ,CAGLIARI,Centre-Forward,right,SIMEONE G.,11558,166016,11289,GIOVANNI,SIMEONE,1995-07-05
98,Kevin,Strootman ,CAGLIARI,Central Midfield,left,STROOTMAN K.,6957,49887,5865,KEVIN,STROOTMAN,1990-02-13
99,Sebastian,Walukiewicz ,CAGLIARI,Centre-Back,right,WALUKIEWICZ S.,20916,429187,20019,SEBASTIAN,WALUKIEWICZ,2000-04-05
100,Gabriele,Zappa ,CAGLIARI,Right-Back,right,ZAPPA G.,21668,235584,22194,GABRIELE,ZAPPA,1999-12-22
101,Kristjan,Asllani ,EMPOLI,Defensive Midfield,right,ASLLANI K.,25333,517997,34578,KRISTJAN,ASLLANI,2002-03-09
102,Nedim,Bajrami ,EMPOLI,Attacking Midfield,right,BAJRAMI N.,16535,204674,24411,NEDIM,BAJRAMI,1999-02-28
103,Tommaso,Baldanzi ,EMPOLI,Attacking Midfield,left,BALDANZI T.,23596,518908,34579,TOMMASO,BALDANZI,2003-03-23
104,Filippo,Bandinelli ,EMPOLI,Central Midfield,left,BANDINELLI F.,8994,216250,19973,FILIPPO,BANDINELLI,1995-03-29
105,Marco,Benassi ,EMPOLI,Central Midfield,right,BENASSI M.,6321,122476,6753,MARCO,BENASSI,1994-09-08
106,Liberato,Cacace ,EMPOLI,Left-Back,left,CACACE L.,30822,438130,32266,LIBERATO,CACACE,2000-09-27
107,Giovanni,Crociata ,EMPOLI,Central Midfield,right,CROCIATA G.,11406,220091,19639,GIOVANNI,CROCIATA,1997-08-11
108,Patrick,Cutrone ,EMPOLI,Centre-Forward,right,CUTRONE P.,13716,209353,11537,PATRICK,CUTRONE,1998-01-03
109,Federico,Di Francesco,EMPOLI,Left Winger,right,DI FRANCESCO F.,8915,157735,3336,FEDERICO,DI FRANCESCO,1994-06-14
110,Riccardo,Fiamozzi ,EMPOLI,Right-Back,right,FIAMOZZI R.,5958,109623,9010,RICCARDO,FIAMOZZI,1993-05-18
111,Nicolas,Haas ,EMPOLI,Central Midfield,right,HAAS N.,11551,194783,8017,NICOLAS,HAAS,1996-01-23
112,Liam,Henderson ,EMPOLI,Central Midfield,right,HENDERSON L.,8573,168225,6219,LIAM,HENDERSON,1996-04-25
113,Ardian,Ismajli ,EMPOLI,Centre-Back,right,ISMAJLI A.,23945,229912,16569,ARDIAN,ISMAJLI,1996-09-30
114,Andrea,La Mantia ,EMPOLI,Centre-Forward,right,LA MANTIA A.,10989,79847,19778,ANDREA,LA MANTIA,1991-05-06
115,Sebastiano,Luperto ,EMPOLI,Centre-Back,left,LUPERTO S.,7479,168618,13446,SEBASTIANO,LUPERTO,1996-09-06
116,Leonardo,Mancuso ,EMPOLI,Centre-Forward,right,MANCUSO L.,5628,153758,19788,LEONARDO,MANCUSO,1992-05-26
117,Riccardo,Marchizza ,EMPOLI,Left-Back,left,MARCHIZZA R.,11686,201333,19642,RICCARDO,MARCHIZZA,1998-03-26
118,Fabiano,Parisi ,EMPOLI,Left-Back,left,PARISI F.,21208,515952,33392,FABIANO,PARISI,2000-11-09
119,Andrea,Pinamonti ,EMPOLI,Centre-Forward,right,PINAMONTI A.,11423,216040,14183,ANDREA,PINAMONTI,1999-05-19
120,Samuele,Ricci ,EMPOLI,Defensive Midfield,right,RICCI S.,16070,450023,27570,SAMUELE,RICCI,2001-08-21
121,Simone,Romagnoli  ,EMPOLI,Centre-Back,right,ROMAGNOLI S.,6368,82334,9897,SIMONE,ROMAGNOLI,1990-02-09
122,Petar,Stojanovic ,EMPOLI,Right-Back,right,STOJANOVIC P.,8052,153814,12434,PETAR,STOJANOVIC,1995-10-07
123,Leo,Stulac ,EMPOLI,Defensive Midfield,right,STULAC L.,9068,114355,13038,LEO,STULAC,1994-09-26
124,Lorenzo,Tonelli  ,EMPOLI,Centre-Back,right,TONELLI L.,6407,42426,6294,LORENZO,TONELLI,1990-01-17
125,Valerio,Verre ,EMPOLI,Attacking Midfield,both,VERRE V.,6780,105132,10628,VALERIO,VERRE,1994-01-11
126,Guglielmo,Vicario ,EMPOLI,Goalkeeper,right,VICARIO G.,12119,184254,19584,GUGLIELMO,VICARIO,1996-10-07
127,Mattia,Viti ,EMPOLI,Centre-Back,left,VITI M.,23620,499156,30107,MATTIA,VITI,2002-01-24
128,Szymon,Zurkowski ,EMPOLI,Central Midfield,right,ZURKOWSKI S.,20277,427148,16999,SZYMON,ZURKOWSKI,1997-09-25
129,Sofyan,Amrabat ,FIORENTINA,Defensive Midfield,right,AMRABAT S.,14903,172912,9927,SOFYAN,AMRABAT,1996-08-21
130,Cristiano,Biraghi ,FIORENTINA,Left-Back,left,BIRAGHI C.,6001,88432,2067,CRISTIANO,BIRAGHI,1992-09-01
131,Giacomo,Bonaventura ,FIORENTINA,Central Midfield,right,BONAVENTURA G.,6191,49417,3879,GIACOMO,BONAVENTURA,1989-08-22
132,Arthur,Cabral ,FIORENTINA,Centre-Forward,right,CABRAL A.,23799,215241,23978,ARTHUR,CABRAL,1998-04-25
133,JosE',CallejOn ,FIORENTINA,Right Winger,right,CALLEJON J. M.,6196,51732,5422,JOSE' MARIA,CALLEJON,1987-02-11
134,Gaetano,Castrovilli  ,FIORENTINA,Central Midfield,right,CASTROVILLI G.,7694,195634,19825,GAETANO,CASTROVILLI,1997-02-17
135,Filippo,Distefano ,FIORENTINA,Second Striker,right,DISTEFANO F.,29581,561076,73204,FILIPPO,DISTEFANO,2003-08-28
136,Bartlomiej,Dragowski  ,FIORENTINA,Goalkeeper,right,DRAGOWSKI B.,11543,162842,13025,BARTLOMIEJ,DRAGOWSKI,1997-08-19
137,Alfred,Duncan ,FIORENTINA,Central Midfield,left,DUNCAN A.,6290,116056,587,ALFRED,DUNCAN,1993-03-10
